feature,importance
cases_lag1,0.974684500221116
cases_roll3,0.007597825457001902
cases_lag2,0.00715081637069226
cases_historical_mean,0.0031861981410648632
cases_trend_slope,0.002450375160123536
cases_roll5,0.0022376104545896317
cases_volatility_5yr,0.0013898053022644377
cases_lag3,0.0013028688931473469
