State,District,Latitude,Longitude,Elevation_m,Water_Occurrence_pct,NDVI_2024
Andhra Pradesh,Alluri Sitharama,18.0591962,82.6749006,1063.91754408211,25.023809523809522,0.6178182954881226
Andhra Pradesh,Anakapalli,17.6715331,82.7747567,137.77438399325055,42.81383443625902,0.673154987047148
Andhra Pradesh,Ananthapuramu,14.0126989,78.4180222,449.4023359328116,40.43140363774482,0.41771430061790543
Andhra Pradesh,Annamayya,13.7883575,78.6346286,606.5275905419564,17.929515943294998,0.4467717487262566
Andhra Pradesh,Bapatla,15.9344304,80.4505522,4.820399780595442,35.989779700100996,0.47839716977634755
Andhra Pradesh,Chittoor,13.325036,79.6480611,102.60894694475527,11.7384757178303,0.5870477396102373
Andhra Pradesh,"Dr. B.R.
Ambedkar",16.6294048,82.081931,8.797340888802513,26.74313376914208,0.6070487067522198
Andhra Pradesh,East Godavari,16.9956639,81.7154378,17.236979241709616,80.36969855718779,0.4676091499233149
Andhra Pradesh,Eluru,16.7104257,81.1153816,13.496272111762416,24.235481310883536,0.47665826169118347
Andhra Pradesh,Guntur,16.2915189,80.4541588,26.40720352353143,25.593591021135897,0.4153857985185248
Andhra Pradesh,Kakinada,16.9437385,82.2350607,4.573970755065047,89.64714517869662,0.4063898420124395
Andhra Pradesh,Krishna,16.2135466,81.0277844,7.273546480859149,62.604481017610375,0.5206448362399458
Andhra Pradesh,Kurnool,15.8309251,78.0425373,286.5778327871082,40.359346075482435,0.3827500858286267
Andhra Pradesh,Nandyal,15.4736293,78.4806592,212.51427388200074,47.75588830544967,0.44586949340423015
Andhra Pradesh,Ntr,16.8169118,80.2502299,58.118165153619636,31.24669687347635,0.5804825673698562
Andhra Pradesh,Palnadu,16.3231038,79.6975049,198.44582312241366,13.390111546578249,0.48126573051332244
Andhra Pradesh,Parvathipuram,18.783186,83.4278759,132.06665351126375,26.489164414772453,0.53435202343114
Andhra Pradesh,Prakasam,15.5641955,80.0066786,18.544336151828563,28.920824399142024,0.42626351473818447
Andhra Pradesh,Sri Potti,14.3435985,79.9314117,20.78997499673556,50.32748746198651,0.47496703888326647
Andhra Pradesh,Sri Sathya Sai,14.1681806,77.9641188,615.6562517256157,36.2608153688223,0.4853351838205689
Andhra Pradesh,Srikakulam,18.2949307,83.8938844,15.748196822091346,31.0250124163877,0.490839993686337
Andhra Pradesh,Tirupati,13.6316368,79.4231711,219.74791384818835,13.845786574168148,0.4896630805332563
Andhra Pradesh,Visakhapatnam,17.6935526,83.2921297,27.217920526342695,98.02415399865399,0.3735717741742669
Andhra Pradesh,Vizianagaram,18.1141255,83.4114389,73.78341332498083,33.97859911986582,0.49104800789104175
Andhra Pradesh,West Godavari,16.6443029,81.5885247,10.487441673647568,17.300559886435337,0.5421897303163602
Andhra Pradesh,Y.S.R.,14.4019236,79.9226275,30.21644823585021,59.52271148831092,0.44350299039172886
Arunachal Pradesh,Anjaw,28.1553856,96.8407212,3726.1961324210624,73.65075164232842,0.24736546222943562
Arunachal Pradesh,Changlang,27.2698797,96.0602442,479.15027575081035,1.9166666666666663,0.7674301949703086
Arunachal Pradesh,Dibang Valley,28.8291044,95.9554096,2002.7444078703704,64.51914679014739,0.7308921165936467
Arunachal Pradesh,East Kameng,27.557781,93.0753012,1328.003850280983,,0.7493882870654452
Arunachal Pradesh,East Siang,28.0742219,95.4178149,163.94448521254958,59.31499170711724,0.4910276558338909
Arunachal Pradesh,Kamle,27.7312325,94.0964663,1181.2381311825525,77.18557860050423,0.746077118560755
Arunachal Pradesh,Kra Daadi,27.9635418,93.7665654,1214.1177759903894,45.13155684507907,0.7064904331458761
Arunachal Pradesh,Kurung Kumey,27.9863677,93.1578347,1902.0807303347453,59.90482551344128,0.6574543562399581
Arunachal Pradesh,Lohit,28.0350162,96.1713515,714.4184706662596,32.24468085106374,0.6390092602658654
Arunachal Pradesh,Longding,26.8794546,95.3155652,744.8834678474376,3.0746268656716427,0.7203651068717951
Arunachal Pradesh,Lower Dibang,28.2149563,95.878774,1534.9197763017385,9.379084967320264,0.708652095295534
Arunachal Pradesh,Lower Siang,27.8006983,94.5650233,692.7180448040206,24.215053763440913,0.7638341852487777
Arunachal Pradesh,Lower Subansiri,27.6059753,93.8669707,1855.8856041753963,8.838679245283018,0.6019173393604925
Arunachal Pradesh,Namsai,27.7140306,96.0159709,235.27726359075228,,0.7940091027978834
Arunachal Pradesh,Pakke Kessang,27.1582856,93.1561502,1481.411269458763,4.378217821782177,0.681873882597252
Arunachal Pradesh,Papum Pare,27.2863667,93.6187716,1566.3763897302279,,0.6954735967274732
Arunachal Pradesh,Shi Yomi,28.6851663,94.2367824,2907.6319048275177,,0.5539430059185969
Arunachal Pradesh,Siang,28.477492,94.8165573,1198.9335043364135,5.098039215686274,0.736910742004944
Arunachal Pradesh,Tawang,27.5879186,91.863733,2772.6242905806207,49.9814588149961,0.6161026785670761
Arunachal Pradesh,Tirap,27.030169,95.4979175,564.1424193021,2.5483870967741935,0.7682387732963425
Arunachal Pradesh,Upper Siang,28.7312046,95.0377315,1875.9424768837434,12.789473684210524,0.6930111935260952
Arunachal Pradesh,Upper Subansiri,28.2596054,94.0938106,1059.8771584380902,73.61299690973517,0.7597633483216826
Arunachal Pradesh,West Kameng,27.2986936,92.4741211,1886.2344690580467,38.377763578274745,0.6832443735877697
