state,year,blood_slides_tested,positive_cases,pf_cases,deaths,is_partial_year,year_clean,flag_positive_gt_tested,flag_pf_gt_positive,slide_positivity_rate,pf_percentage,case_fatality_rate,testing_intensity,positive_cases_lag1,cases_yoy_change_pct,positive_cases_roll2
Chhattisgarh,2025,6987642.0,28836.0,25304.0,12.0,False,2025,False,False,0.4126713990213008,87.75142183381884,0.04161464835622139,1.1392601329565777,31373.0,-8.086571255538201,31539.5
Chhattisgarh,2026(upto June),3137671.0,9523.0,7995.0,0.0,True,2026,False,False,0.3035053707033019,83.95463614407225,0.0,0.5115636262753585,,,
Delhi,2022,46299.0,263.0,43.0,1.0,False,2022,False,False,0.5680468260653578,16.34980988593156,0.38022813688212925,0.34113968166485653,,,
Delhi,2023,65633.0,344.0,41.0,1.0,False,2023,False,False,0.5241265826642085,11.918604651162791,0.29069767441860467,0.4835962056785142,263.0,30.798479087452474,
Delhi,2024,224373.0,910.0,82.0,0.0,False,2024,False,False,0.4055746457907146,9.010989010989011,0.0,1.6532221817790633,344.0,164.53488372093022,303.5
Delhi,2025,328650.0,941.0,118.0,0.0,False,2025,False,False,0.28632283584360263,12.539851222104145,0.0,2.4215545990011687,910.0,3.4065934065934065,627.0
Delhi,2026(upto June),13638.0,46.0,16.0,0.0,True,2026,False,False,0.3372928581903505,34.78260869565217,0.0,0.10048733187639719,,,
Goa,2022,249449.0,587.0,244.0,0.0,False,2022,False,False,0.23531864228760185,41.56729131175469,0.0,0.7605620833965995,,,
Goa,2023,319859.0,1346.0,488.0,0.0,False,2023,False,False,0.42081041959113236,36.2555720653789,0.0,0.9752399385571917,587.0,129.3015332197615,
Goa,2024,406527.0,884.0,286.0,0.0,False,2024,False,False,0.21745173137331592,32.35294117647059,0.0,1.2394879196828585,1346.0,-34.323922734026745,966.5
Goa,2025,457621.0,448.0,104.0,0.0,False,2025,False,False,0.09789760522353651,23.214285714285715,0.0,1.3952719039404256,884.0,-49.321266968325794,1115.0
Goa,2026(upto June),206443.0,148.0,36.0,0.0,True,2026,False,False,0.07169049083766463,24.324324324324326,0.0,0.6294381544229248,,,
